Name;Done;Race;Class;Level;Caster level;BAB;Str;Dex;Con;Int;Wis;Cha;Acrobatics;Appraise;Bluff;Climb;Craft;Diplomacy;Disable Device;Disguise;Escape Artist;Fly;Handle Animal;Heal;Intimidate;Knowledge (arcana);Knowledge (dungeoneering);Knowledge (engineering);Knowledge (geography);Knowledge (history);Knowledge (local);Knowledge (nature);Knowledge (nobility);Knowledge (planes);Knowledge (religion);Linguistics;Perception;Perform;Profession;Ride;Sense Motive;Sleight of Hand;Spellcraft;Stealth;Survival;Swim;Use Magic Device;Fortitude;Reflex;Will;Or_things;Feats;To sort;Special;Prerequisite;Description
Ace Trip???;FALSE;;;0;0;6;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Deadly Aim, Ranged Trip;;weapon training class feature with a ranged weapon;Dex 13, Deadly Aim, Ranged Trip (Ranged Tactics Toolbox9), base attack bonus +6, weapon training class feature with a ranged weapon;No penalty when using Ranged Trip, make special ranged trips against flying creatures
Acrobatic;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;—;+2 bonus on Acrobatics and Fly checks
Acrobatic Spellcaster*;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Combat Casting, Skill Focus (Acrobatics);;;Combat Casting, Skill Focus (Acrobatics);Avoid attacks of opportunity from casting with Acrobatics
Acrobatic Steps;FALSE;;;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Nimble Moves;;;Dex 15, Nimble Moves;Ignore 20 feet of difficult terrain when you move
Acupuncture Specialist;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Heal 5 ranks;Cure curses with a Heal check
Acute Shot;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Far Shot, Precise Shot;;;Far Shot, Precise Shot;Deduct range penalties from damage rolls instead of attack rolls
Adaptive Fortune;FALSE;Halfling;;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Fortunate One;;Adaptable luck racial trait;Fortunate One, adaptable luck racial trait, character level 10th, halfling;Increase your skill and uses with Adaptable Luck
Adder Strike*;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Poison use class feature, Craft (alchemy) 1 rank, Improved Unarmed Strike;;;Poison use class feature, Craft (alchemy) 1 rank, Improved Unarmed Strike;May apply contact poison to unarmed strikes
Additional Affiliations;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;—;Increase affiliation slot total by 2
Additional Traits;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;—;Gain two additional character traits
Adept Champion;FALSE;;;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Smite evil class feature,;;;Smite evil class feature, base attack bonus +5;Trade smite evil damage for bonus on combat maneuver checks
Adept Channel;FALSE;;;0;4;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Ability to cast divine spells, summon familiar class ability;Ability to cast divine spells, summon familiar class ability, caster level 4th, Cha 13;Gain the channel energy class feature
Advance Warning;TRUE;;;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Cha 15;Help allies avoid being surprised
Advanced Armor Training*;FALSE;;Fighter;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Armor training class feature;Armor training class feature, fighter level 3rd.;Gain an advanced armor training option
Advanced Defensive Combat Training*;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Defensive Combat Training;;Bellflower Network;Defensive Combat Training, Bellflower Network 10 TPA;Gain a +4 bonus to your CMD
Advanced Gathlain Magic;FALSE;Gathlain;;3;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Cha 13, character level 3rd, gathlain;Gain additional spell-like abilities
Advanced Ranger Trap;FALSE;;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Trap class feature, ranger level 5th;;;Trap class feature, ranger level 5th;Add +1 to the Disable Device and Perception check DCs for your ranger traps
Advanced Weapon Training*;FALSE;;Fighter;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;weapon training class feature;Fighter level 5th, weapon training class feature;Gain an advanced weapon training option
Aerial Roll*;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Fly 10 ranks;Dodge attacks by making with a Fly check
Agent of Fear;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Persuasive, frightening appearance class feature;;;Persuasive, frightening appearance class feature;Target a creature more often with appearances
Agent of Purity;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;A friend or ally must have been significantly corrupted by a specific natural or supernatural blight, or you must have a regional background trait tied to a specific blight;;A friend or ally must have been significantly corrupted by a specific natural or supernatural blight, or you must have a regional background trait tied to a specific blight;Gain combat bonuses against blighted creatures
Agile Maiden*;FALSE;;;0;0;0;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Endurance or armor training class feature, proficiency with heavy armor;"Str 13; Dex 13; Endurance or armor training class feature; proficiency with heavy armor";Treat Gray Maiden plate as medium or heavy armor for class features
Agile Maneuvers*;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;—;Use your Dex bonus when calculating your CMB
Agile Tongue;FALSE;Grippli;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Grippli;Your tongue becomes capable of manipulating small items or stealing objects
Agonizing Obedience;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;3 ranks in Heal;Physically defile yourself to gain special boons
Airy Step;FALSE;Sylph;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Sylph;+2 save vs. air/electricity effects, ignore 30 ft. when falling
Alchemical Strike*;FALSE;;;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Throw Anything;;;Throw Anything, base attack bonus +6;Increase the save DC of thrown alchemical items
Aldori Artistry*;FALSE;;;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Exotic Weapon Proficiency, Weapon Finesse;;Exotic Weapon Proficiency (Aldori dueling sword), Weapon Finesse;Exotic Weapon Proficiency (Aldori dueling sword), Weapon Finesse, base attack bonus +2;Gain a+2 bonus on a combat maneuver when using an Aldori dueling sword
Aldori Dueling Disciple*;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Exotic Weapon Proficiency, Weapon Finesse, Weapon Focus;;Exotic Weapon Proficiency (Aldori dueling sword), Weapon Finesse, Weapon Focus (Aldori dueling sword);Exotic Weapon Proficiency (Aldori dueling sword), Weapon Finesse, Weapon Focus (Aldori dueling sword);Gain bonuses on Intimidate checks
Aldori Dueling Mastery*;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;Exotic Weapon Proficiency (Aldori dueling sword), Quick Draw, Weapon Finesse, Weapon Focus (Aldori dueling sword);;Exotic Weapon Proficiency (Aldori dueling sword), Quick Draw, Weapon Finesse, Weapon Focus (Aldori dueling sword);Gain initiative and defensive bonuses when wielding an Aldori dueling sword
Aldori Style Aegis*;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;Aldori Style, Alertness, Combat Reflexes, Exotic Weapon Proficiency (Aldori dueling sword), Weapon Finesse, Weapon Focus (Aldori dueling sword);;Alertness, Exotic Weapon Proficiency (Aldori dueling sword), Weapon Finesse, Weapon Focus (Aldori dueling sword);Gain a +2 bonus to damage when fighting defensively or using Combat Expertise
Aldori Style Conquest*;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;Aldori Style, Aldori Style Aegis, Alertness, Combat Reflexes, Exotic Weapon Proficiency (Aldori dueling sword), Weapon Finesse, Weapon Focus (Aldori dueling sword);;Aldori Style, Alertness, Combat Reflexes, Exotic Weapon Proficiency (Aldori dueling sword), Weapon Finesse, Weapon Focus (Aldori dueling sword);Parry an attack made by a single focused target
Aldori Style*;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;Alertness, Exotic Weapon Proficiency (Aldori dueling sword), Weapon Finesse, Weapon Focus (Aldori dueling sword);;Aldori Style, Aldori Style Aegis, Alertness, Combat Reflexes, Exotic Weapon Proficiency (Aldori dueling sword), Weapon Finesse, Weapon Focus (Aldori dueling sword);Take no penalties on attack rolls when using Aldori Style Aegis to parry an attack
Alertness;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;—;+2 bonus on Perception and Sense Motive checks
Alien Mindpaths;FALSE;Android, Kasatha, Lashunta, Triaxian;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Android, kasatha, lashunta, or Triaxian;Gain +4 on saves vs. mind-affecting effects and scrying
Align Equipment;FALSE;;;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;Alignment Channel, Bless Equipment, caster level 3rd, channel energy class feature;;Alignment Channel, Bless Equipment, caster level 3rd, channel energy class feature;Enhance your equipment blessings with abilities
Aligned Crafting;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;Craft Magic Arms and Armor, Craft Wondrous Item;;;;Craft Magic Arms and Armor or Craft Wondrous Item;Create magic items infused with your alignment
Alignment Channel;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Channel energy class feature;Channel energy class feature;Channel energy can heal or harm outsiders
All Gnolls Must Die;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Deliver the killing blow to 20 gnolls (or similar);Deliver the killing blow to 20 gnolls (or similar);Gain a morale bonus on Will saves and a bonus to attack/damage gnolls and similar creatures
All-Consuming Swing*;FALSE;;;0;0;8;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Power Attack, Cleave, Vital Strike;;;Str 13, Power Attack, Cleave, Vital Strike, base attack bonus +8;Apply Vital Strike to a Cleave attack, but take the Vital Strike damage yourself as well
Allied Spellcaster;FALSE;;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Caster level 1st;+2 bonus on level checks to overcome spell resistance
Ally Caller;FALSE;Triton;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Summon nature’s ally IIspell-like ability;Triton,summon nature’s ally IIspell-like ability, character level 3rd;Use your racialsummon nature's allyspell-like ability more often
Ally Shield;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;—;Use your allies as shields
Alter Binary Mindscape;FALSE;;;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;ability to cast instigate psychic duel;Int 13, ability to castinstigate psychic duel;Opponent must spend 1 extra manifestation point to defend itself
Altitude Affinity;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Endurance;;;Endurance;Automatically acclimated to high altitude
Al-Zabriti-Trained Horse;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;  ;;Horse;Learn bonus tricks, can be trained easier
Amateur Gunslinger*;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;You have no levels in a class that has the grit class feature;You have no levels in a class that has the grit class feature;Gain limited amount of grit and access to gunslinger deeds
Amateur Investigator;FALSE;;;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;Int 13, 1 rank in at least one Knowledge skill, no levels in a class that has the inspiration class feature;;Int 13, 1 rank in at least one Knowledge skill, no levels in a class that has the inspiration class feature;Gain a minor pool of inspiration for use with Knowledge, Linguistics, or Spellcraft checks
Amateur Swashbuckler*;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;No levels in a class that has the panache class feature;;;No levels in a class that has the panache class feature;Gain a minor pool of panache to use with a 1st-level swashbuckler deed of your choice
Ambuscading Spell;TRUE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;—;Creatures take a penalty versus your spells on the surprise round
Ambush Awareness;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Alertness;;;Alertness;Take total defense action when surprised
Ambush Sense*;FALSE;;;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Int 13, trap sense class feature;;;Int 13, trap sense class feature;Add your trap sense bonus to Perception checks against surprise and AC during the surprise round
Ambush Squad*;TRUE;Kobold;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Base attack bonus +1, kobold;Take both a move action and a standard action on a surprise round when you and ally can both act
Ammo Drop*;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;proficient with sling;Sleight of Hand 1 rank, proficient with sling;Load slings as a swift action
Amplified Hex;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Hex class feature;Hex class feature;Augment your hexes by expending spell power
Amplified Radiance;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;daylight racial spell-like ability;Aasimar,daylightracial spell-like ability;Shed an aura of light when near allies who share this feat
Amplified Rage;FALSE;Half-Orc, Orc;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Rage class feature;Half-orc or orc, rage class feature;Make your rage more powerful when near others raging
Anatomical Savant*;FALSE;;;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;Weapon Focus;;;Weapon Focus, base attack bonus +12;Sneak attack creatures normally immune or fortified
Ancestral Enmity*;FALSE;Giant;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Giant subtype;+2 bonus on melee attack against dwarves and gnomes
Ancestral Scorn;FALSE;Tiefling;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;Intimidate 5 ranks, tiefling;Sicken enemies when you demoralize them.
Ancestral Weapon Mastery*;FALSE;;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;weapon familiarity racial trait;Base attack bonus +1, weapon familiarity racial trait;Gain proficiency with your race’s racial weapons or gain a bonus Weapon Focus feat with one racial weapon at a time
Ancient Draconic;FALSE;;;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;Arcane caster, speaks Draconic.;Arcane caster level 5th, speaks Draconic.;Empower spells using the language of dragons
Ancient Tradition;FALSE;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;must have a connection to a lost culture;Knowledge (history) 3 ranks, must have a connection to a lost culture;Gain powerful boons by adhering to ancient traditions
Andoren Falconry;FALSE;;;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;; Animal Affinity;;animal companion class feature;Cha 13, Animal Affinity, animal companion class feature;Bonuses when dealing with birds of prey
